epoch,accuracy,loss,val_accuracy,val_loss
0,0.3667312562465668,1.327606201171875,0.4927953779697418,1.275905966758728
1,0.6495986580848694,0.9905866384506226,0.6628242135047913,0.927151083946228
2,0.7982286214828491,0.5746849179267883,0.6945244669914246,0.7961314916610718
3,0.8427899479866028,0.42388996481895447,0.7002881765365601,0.7834061980247498
4,0.8762801289558411,0.33426570892333984,0.6858789920806885,0.8148150444030762
5,0.9020204544067383,0.27751898765563965,0.6829971075057983,0.884460985660553
6,0.92637699842453,0.22863253951072693,0.6657060384750366,0.9180442690849304
7,0.9377248883247375,0.1946418434381485,0.6714697480201721,0.9803159832954407
8,0.9438139796257019,0.1647816151380539,0.6714697480201721,1.077453374862671
9,0.9551619291305542,0.14511670172214508,0.6628242135047913,1.1163036823272705
10,0.9615278244018555,0.12711647152900696,0.6628242135047913,1.1914279460906982
11,0.9654027223587036,0.11642370373010635,0.6599423885345459,1.2152483463287354
12,0.9706615209579468,0.10348054766654968,0.6599423885345459,1.2357001304626465
13,0.9695543646812439,0.09996546059846878,0.6599423885345459,1.3046873807907104
14,0.974259614944458,0.09104974567890167,0.651296854019165,1.323676347732544
15,0.9717686176300049,0.08662402629852295,0.6657060384750366,1.4192824363708496
16,0.9712150692939758,0.08520380407571793,0.6599423885345459,1.4212793111801147
17,0.9745364189147949,0.08166832476854324,0.651296854019165,1.5335520505905151
18,0.974259614944458,0.07408777624368668,0.6685879230499268,1.488655686378479
19,0.9745364189147949,0.07480957359075546,0.6570605039596558,1.5012751817703247
20,0.9767506122589111,0.0765179842710495,0.639769434928894,1.5700362920761108
21,0.9792416095733643,0.06537996977567673,0.639769434928894,1.5931410789489746
22,0.9778577089309692,0.0648331567645073,0.6455331444740295,1.6577718257904053
23,0.9775809645652771,0.061927467584609985,0.639769434928894,1.6080536842346191
24,0.9773041605949402,0.06659027934074402,0.6541786789894104,1.6176480054855347
